"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"245","TF-OU -- VHL/S","VHL/S - AH",93,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,8.1,66.4,23.25,188.325,0,66.4,156369522.8484
"246","TF-OU -- VHL/S","VHL/S - AGR_AN",53,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,8.1,66.4,13.25,107.325,0,66.4,50785291.9044
"247","TF-OU -- VHL/S","VHL/S - AGR_PER",70,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,8.1,66.4,17.5,141.75,0,66.4,88589508.84
"248","TF-OU -- VHL/S","VHL/S - OT",103,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,8.1,66.4,25.75,208.575,0,66.4,191805326.3844
"249","TF-PRA -- BC","BC - P",87,"DEFORESTACION PRADERA","TF-PRA","BC","BC",8,34.6,38.1,21.75,752.55,0,38.1,822092472.344025
"250","TF-PRA -- BCO/P","BCO/P - P",15146,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,33.6,2.1,3786.5,127226.4,0,2.1,71382715739.1936
"251","TF-PRA -- BCO/P","BCO/P - MXnL/S",78,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,33.6,2.1,19.5,655.2,0,2.1,1893155.8464
"252","TF-PRA -- BCO/P","BCO/P - MXnL/P",899,"DEFORESTACION PRADERA","TF-PRA","BCO/P","BCO/P",4404,33.6,2.1,224.75,7551.6,0,2.1,251487581.8896
"253","TF-PRA -- BCO/S","BCO/S - MXnL/P",4550,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,22.1,4.8,1137.5,25138.75,0,4.8,14560283556
"254","TF-PRA -- BCO/S","BCO/S - P",10008,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,22.1,4.8,2502,55294.2,0,4.8,70443614675.8656
"255","TF-PRA -- BCO/S","BCO/S - MXnL/S",2,"DEFORESTACION PRADERA","TF-PRA","BCO/S","BCO/S",1137,22.1,4.8,0.5,11.05,0,4.8,2813.2416
"256","TF-PRA -- BE/P","BE/P - MXnL/P",20298,"DEFORESTACION PRADERA","TF-PRA","BE/P","BE/P",3365,20.7,2.7,5074.5,105042.15,0,2.7,80436790386.578
"257","TF-PRA -- BE/P","BE/P - P",22116,"DEFORESTACION PRADERA","TF-PRA","BE/P","BE/P",3365,20.7,2.7,5529,114450.3,0,2.7,95490770829.9561
"258","TF-PRA -- BE/S","BE/S - MXnL/S",284,"DEFORESTACION PRADERA","TF-PRA","BE/S","BE/S",1466,14.7,4.9,71,1043.7,0,4.9,26154325.6569
