"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"209","TF-OU -- MXL/S","MXL/S - AGR_AN",42149,"DEFORESTACION","TF-OU","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,10537.25,13062.2203280476,0,19.9563894799346,67951328592.5203
"210","TF-OU -- MXL/S","MXL/S - OT",678,"DEFORESTACION","TF-OU","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,169.5,210.116144687092,0,19.9563894799346,17582587.5937492
"211","TF-OU -- MXL/S","MXL/S - ACUI",102,"DEFORESTACION","TF-OU","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,25.5,31.6103934485006,0,19.9563894799346,397945.635100126
"212","TF-OU -- MXL/S","MXL/S - AH",10579,"DEFORESTACION","TF-OU","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,2644.75,3278.49364991851,0,19.9563894799346,4280678744.43759
"213","TF-OU -- MXL/S","MXL/S - AGR_PER",3487,"DEFORESTACION","TF-OU","MXL/S","MXL/S",198,1.23962327249022,19.9563894799346,871.75,1080.64158779335,0,19.9563894799346,465079606.881466
"214","TF-OU -- SC/P","SC/P - AH",3458,"DEFORESTACION","TF-OU","SC/P","SC/P",939,12.1688047623247,3.71287879272402,864.5,10519.9317170297,0,3.71287879272402,1525623555.45458
"215","TF-OU -- SC/P","SC/P - ACUI",134,"DEFORESTACION","TF-OU","SC/P","SC/P",939,12.1688047623247,3.71287879272402,33.5,407.654959537877,0,3.71287879272402,2290904.60070481
"216","TF-OU -- SC/P","SC/P - AGR_AN",90468,"DEFORESTACION","TF-OU","SC/P","SC/P",939,12.1688047623247,3.71287879272402,22617,275221.857309498,0,3.71287879272402,1044208890196.12
"217","TF-OU -- SC/P","SC/P - AGR_PER",6041,"DEFORESTACION","TF-OU","SC/P","SC/P",939,12.1688047623247,3.71287879272402,1510.25,18377.9373923009,0,3.71287879272402,4656022594.09411
"218","TF-OU -- SC/P","SC/P - OT",4932,"DEFORESTACION","TF-OU","SC/P","SC/P",939,12.1688047623247,3.71287879272402,1233,15004.1362719464,0,3.71287879272402,3103441358.43254
"219","TF-OU -- SC/S","SC/S - AGR_AN",72571,"DEFORESTACION","TF-OU","SC/S","SC/S",613,8.11980867797645,5.41861172533156,18142.75,147315.658892357,0,5.41861172533156,637197245823.692
"220","TF-OU -- SC/S","SC/S - AH",4647,"DEFORESTACION","TF-OU","SC/S","SC/S",613,8.11980867797645,5.41861172533156,1161.75,9433.18773163914,0,5.41861172533156,2612720903.11835
"221","TF-OU -- SC/S","SC/S - OT",809,"DEFORESTACION","TF-OU","SC/S","SC/S",613,8.11980867797645,5.41861172533156,202.25,1642.23130512074,0,5.41861172533156,79185327.661816
"222","TF-OU -- SC/S","SC/S - AGR_PER",3231,"DEFORESTACION","TF-OU","SC/S","SC/S",613,8.11980867797645,5.41861172533156,807.75,6558.77545963548,0,5.41861172533156,1263053047.17018
"223","TF-OU -- SC/S","SC/S - ACUI",120,"DEFORESTACION","TF-OU","SC/S","SC/S",613,8.11980867797645,5.41861172533156,30,243.594260339293,0,5.41861172533156,1742248.77166816
"224","TF-OU -- SP/P","SP/P - AGR_AN",16710,"DEFORESTACION","TF-OU","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,4177.5,144591.376089214,0,1.73530928302119,62956208064.8373
"225","TF-OU -- SP/P","SP/P - AH",6130,"DEFORESTACION","TF-OU","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,1532.5,53042.7968537929,0,1.73530928302119,8472403115.74676
"226","TF-OU -- SP/P","SP/P - AGR_PER",966,"DEFORESTACION","TF-OU","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,241.5,8358.78332149493,0,1.73530928302119,210397180.232478
"227","TF-OU -- SP/P","SP/P - OT",706,"DEFORESTACION","TF-OU","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,176.5,6109.00727223128,0,1.73530928302119,112381562.060743
"228","TF-OU -- SP/S","SP/S - AGR_PER",14144,"DEFORESTACION","TF-OU","SP/S","SP/S",585,15.9681392300485,5.70731664463471,3536,56463.3403174515,0,5.70731664463471,103847744929.844
"229","TF-OU -- SP/S","SP/S - OT",5,"DEFORESTACION","TF-OU","SP/S","SP/S",585,15.9681392300485,5.70731664463471,1.25,19.9601740375606,0,5.70731664463471,12977.5461968494
"230","TF-OU -- SP/S","SP/S - AGR_AN",27642,"DEFORESTACION","TF-OU","SP/S","SP/S",585,15.9681392300485,5.70731664463471,6910.5,110347.82614925,0,5.70731664463471,396635425056.25
"231","TF-OU -- SP/S","SP/S - AH",3852,"DEFORESTACION","TF-OU","SP/S","SP/S",585,15.9681392300485,5.70731664463471,963,15377.3180785367,0,5.70731664463471,7702383384.97665
"232","TF-OU -- SSC/P","SSC/P - AH",1184,"DEFORESTACION","TF-OU","SSC/P","SSC/P",993,24.0077561960402,2.79113710065852,296,7106.2958340279,0,2.79113710065852,393413179.986064
"233","TF-OU -- SSC/P","SSC/P - AGR_PER",2417,"DEFORESTACION","TF-OU","SSC/P","SSC/P",993,24.0077561960402,2.79113710065852,604.25,14506.6866814573,0,2.79113710065852,1639452360.73862
"234","TF-OU -- SSC/P","SSC/P - AGR_AN",39137,"DEFORESTACION","TF-OU","SSC/P","SSC/P",993,24.0077561960402,2.79113710065852,9784.25,234897.888561106,0,2.79113710065852,429853596925.868
"235","TF-OU -- SSC/S","SSC/S - AH",856,"DEFORESTACION","TF-OU","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,214,2628.0446787797,0,5.70400459515029,224711460.285694
"236","TF-OU -- SSC/S","SSC/S - AGR_PER",712,"DEFORESTACION","TF-OU","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,178,2185.94370477938,0,5.70400459515029,155466807.312689
"237","TF-OU -- SSC/S","SSC/S - OT",516,"DEFORESTACION","TF-OU","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,129,1584.19515683449,0,5.70400459515029,81653930.7060491
"238","TF-OU -- SSC/S","SSC/S - AGR_AN",60817,"DEFORESTACION","TF-OU","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,15204.25,186717.048165123,0,5.70400459515029,1134299339766.06
"239","TF-OU -- VHL/P","VHL/P - AGR_PER",102,"DEFORESTACION","TF-OU","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,25.5,252.607415010065,0,12.8639267663998,10559401.5949587
"240","TF-OU -- VHL/P","VHL/P - AGR_AN",4349,"DEFORESTACION","TF-OU","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,1087.25,10770.4867439096,0,12.8639267663998,19196311077.0984
"241","TF-OU -- VHL/P","VHL/P - OT",4541,"DEFORESTACION","TF-OU","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,1135.25,11245.9830545167,0,12.8639267663998,20928686259.1825
"242","TF-OU -- VHL/P","VHL/P - AH",1263,"DEFORESTACION","TF-OU","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,315.75,3127.87416821287,0,12.8639267663998,1618995586.58484
"243","TF-OU -- VHL/P","VHL/P - ACUI",204,"DEFORESTACION","TF-OU","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,51,505.214830020131,0,12.8639267663998,42237606.3798349
"244","TF-OU -- VHL/S","VHL/S - ACUI",153,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,38.25,233.074631147727,0,45.9382936460084,114640937.842372
"245","TF-OU -- VHL/S","VHL/S - AH",93,"DEFORESTACION","TF-OU","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,23.25,141.672815011364,0,45.9382936460084,42356763.2704803
