"","Estrato","n","FE","U","DinEstFE"
"41","SP/P",2375,40.4,2.9,"TF-PRA -- SP/P"
"42","SP/S",585,19.7,9.1,"TF-PRA -- SP/S"
"43","SSC/P",993,30.2,4.8,"TF-PRA -- SSC/P"
"44","SSC/S",491,16.1,8.9,"TF-PRA -- SSC/S"
"45","VHL/P",246,13.3,22.4,"TF-PRA -- VHL/P"
"46","VHL/S",17,8.1,66.4,"TF-PRA -- VHL/S"
"47","VHnL/P",156,1.2,59.2,"TF-PRA -- VHnL/P"
"48","EOTnL/P",3,NA,NA,"TF-PRA -- EOTnL/P"
"49","BC",6,0.585230415530808,350.339774820201,"TF-TF -- BC"
"50","BCO/P",3536,0.493609492882891,20.5315677300188,"TF-TF -- BCO/P"
"51","BCO/S",892,0.391621148752684,39.5517373791762,"TF-TF -- BCO/S"
"52","BE/P",2613,0.414165677554475,20.4074597724801,"TF-TF -- BE/P"
"53","BE/S",1209,0.466712074177674,24.1103485225096,"TF-TF -- BE/S"
"54","BM/P",247,1.03273039345195,69.3848652371868,"TF-TF -- BM/P"
"55","BM/S",115,0.295455510290986,257.919273797443,"TF-TF -- BM/S"
"56","EOTL/P",27,-0.420126600930328,-275.112722325241,"TF-TF -- EOTL/P"
"57","EOTL/S",24,0.0287634239806249,733.395215045816,"TF-TF -- EOTL/S"
"58","EOTnL/P",3,0.110515363826348,200.622589953096,"PRAD-PRAD -- EOTnL/P"
"59","MXL/P",1253,-0.0819607508754222,-32.294661684669,"TF-TF -- MXL/P"
"60","MXL/S",157,0.0117189012496519,337.217541874124,"TF-TF -- MXL/S"
"61","MXnL/P",734,0.0100348969613639,154.367363407139,"PRAD-PRAD -- MXnL/P"
"62","MXnL/S",67,-0.0420985607290965,-129.20883681865,"PRAD-PRAD -- MXnL/S"
"63","P",1486,0.243518582498286,38.8920658939994,"PRAD-PRAD -- P"
"64","SC/P",715,0.287226212118272,54.5288232210067,"TF-TF -- SC/P"
"65","SC/S",477,0.320539529297657,44.8105177884955,"TF-TF -- SC/S"
"66","SP/P",1783,0.56551316221551,31.4291469260026,"TF-TF -- SP/P"
"67","SP/S",341,0.396807015554308,79.5160923640153,"TF-TF -- SP/S"
"68","SSC/P",834,1.11699972999803,15.1262040497349,"TF-TF -- SSC/P"
"69","SSC/S",232,0.453906610332617,64.6911888359914,"TF-TF -- SSC/S"
"70","VHL/P",155,0.874935625964048,49.8934970677772,"TF-TF -- VHL/P"
"71","VHL/S",11,0.426358981513054,114.469026379636,"TF-TF -- VHL/S"
"72","VHnL/P",87,0.111649101315561,146.622591754747,"PRAD-PRAD -- VHnL/P"
"73","BCO/P",292,0.09,0,"TF-TFd -- BCO/P"
"74","BCO/S",285,0.42,0,"TF-TFd -- BCO/S"
"75","BE/P",818,0.24,0,"TF-TFd -- BE/P"
"76","BE/S",319,0.32,0,"TF-TFd -- BE/S"
"77","BM/P",67,0.26,0,"TF-TFd -- BM/P"
"78","BM/S",31,-6.13,0,"TF-TFd -- BM/S"
"79","MXL/P",501,0.47,0,"TF-TFd -- MXL/P"
"80","MXL/S",51,1,0,"TF-TFd -- MXL/S"
"81","SC/P",239,2.21,0,"TF-TFd -- SC/P"
"82","SC/S",114,2.21,0,"TF-TFd -- SC/S"
"83","SP/P",577,1.94,0,"TF-TFd -- SP/P"
"84","SP/S",98,1.4,0,"TF-TFd -- SP/S"
"85","SSC/P",169,2.21,0,"TF-TFd -- SSC/P"
"86","SSC/S",55,2.21,0,"TF-TFd -- SSC/S"
"87","VHL/P",43,1.58,0,"TF-TFd -- VHL/P"
"88","BC",2,NA,NA,"TF-TFd -- BC"
"89","EOTL/P",2,NA,NA,"TF-TFd -- EOTL/P"
"90","EOTL/S",11,NA,NA,"TF-TFd -- EOTL/S"
"91","EOTnL/P",0,NA,NA,"TF-TFd -- EOTnL/P"
"92","MXnL/P",90,NA,NA,"TF-TFd -- MXnL/P"
"93","MXnL/S",6,NA,NA,"TF-TFd -- MXnL/S"
"94","P",195,NA,NA,"TF-TFd -- P"
"95","VHL/S",0,NA,NA,"TF-TFd -- VHL/S"
"96","VHnL/P",6,NA,NA,"TF-TFd -- VHnL/P"
"97","BCO/P",1715,-0.62,0,"TFd-TF -- BCO/P"
"98","BCO/S",384,-0.96,0,"TFd-TF -- BCO/S"
"99","BE/P",1225,-0.68,0,"TFd-TF -- BE/P"
"100","BE/S",488,-0.73,0,"TFd-TF -- BE/S"
"101","BM/P",108,-0.55,0,"TFd-TF -- BM/P"
"102","BM/S",31,-0.85,0,"TFd-TF -- BM/S"
"103","EOTL/P",3,-0.09,0,"TFd-TF -- EOTL/P"
"104","EOTL/S",11,-0.09,0,"TFd-TF -- EOTL/S"
"105","MXL/P",258,-0.15,0,"TFd-TF -- MXL/P"
"106","MXL/S",30,-0.32,0,"TFd-TF -- MXL/S"
"107","MXnL/P",41,-0.13,0,"TFd-TF -- MXnL/P"
"108","MXnL/S",4,-0.13,0,"TFd-TF -- MXnL/S"
"109","P",113,-0.3511,0,"TFd-TF -- P"
"110","SC/P",326,-0.81,0,"TFd-TF -- SC/P"
"111","SC/S",198,-0.68,0,"TFd-TF -- SC/S"
"112","SP/P",605,-1.21,0,"TFd-TF -- SP/P"
"113","SP/S",72,-1.64,0,"TFd-TF -- SP/S"
"114","SSC/P",365,-1.76,0,"TFd-TF -- SSC/P"
"115","SSC/S",78,-1.18,0,"TFd-TF -- SSC/S"
"116","VHL/P",43,-0.12,0,"TFd-TF -- VHL/P"
"117","VHL/S",5,-0.12,0,"TFd-TF -- VHL/S"
"118","VHnL/P",2,-0.17,0,"TFd-TF -- VHnL/P"
"119","BC ",3,NA,NA,"TFd-TF -- BC "
"120","EOTnL/P",0,NA,NA,"TFd-TF -- EOTnL/P"
"121","BCO/P",1715,-0.62,0,"OU-TF -- BCO/P"
"122","BCO/S",384,-0.96,0,"OU-TF -- BCO/S"
"123","BE/P",1225,-0.68,0,"OU-TF -- BE/P"
"124","BE/S",488,-0.73,0,"OU-TF -- BE/S"
"125","BM/P",108,-0.55,0,"OU-TF -- BM/P"
"126","BM/S",31,-0.85,0,"OU-TF -- BM/S"
"127","EOTL/P",3,-0.09,0,"OU-TF -- EOTL/P"
"128","EOTL/S",11,-0.09,0,"OU-TF -- EOTL/S"
"129","MXL/P",258,-0.15,0,"OU-TF -- MXL/P"
"130","MXL/S",30,-0.32,0,"OU-TF -- MXL/S"
"131","MXnL/P",41,-0.13,0,"OU-PRAD -- MXnL/P"
"132","MXnL/S",4,-0.13,0,"OU-PRAD -- MXnL/S"
"133","P",113,-0.3511,0,"OU-PRAD -- P"
"134","SC/P",326,-0.81,0,"OU-TF -- SC/P"
"135","SC/S",198,-0.68,0,"OU-TF -- SC/S"
"136","SP/P",605,-1.21,0,"OU-TF -- SP/P"
"137","SP/S",72,-1.64,0,"OU-TF -- SP/S"
"138","SSC/P",365,-1.76,0,"OU-TF -- SSC/P"
"139","SSC/S",78,-1.18,0,"OU-TF -- SSC/S"
"140","VHL/P",43,-0.12,0,"OU-TF -- VHL/P"
"141","VHL/S",5,-0.12,0,"OU-TF -- VHL/S"
"142","VHnL/P",2,-0.17,0,"OU-PRAD -- VHnL/P"
"143","BC ",3,NA,NA,"OU-TF -- BC "
"144","EOTnL/P",0,NA,NA,"OU-PRAD -- EOTnL/P"
