"","Estrato","n","FE","U","DinEstFE"
"77","BM/P",67,0.26,0,"TF-TFd -- BM/P"
"78","BM/S",31,-6.13,0,"TF-TFd -- BM/S"
"79","MXL/P",501,0.47,0,"TF-TFd -- MXL/P"
"80","MXL/S",51,1,0,"TF-TFd -- MXL/S"
"81","SC/P",239,2.21,0,"TF-TFd -- SC/P"
"82","SC/S",114,2.21,0,"TF-TFd -- SC/S"
"83","SP/P",577,1.94,0,"TF-TFd -- SP/P"
"84","SP/S",98,1.4,0,"TF-TFd -- SP/S"
"85","SSC/P",169,2.21,0,"TF-TFd -- SSC/P"
"86","SSC/S",55,2.21,0,"TF-TFd -- SSC/S"
"87","VHL/P",43,1.58,0,"TF-TFd -- VHL/P"
"88","BC",2,NA,NA,"TF-TFd -- BC"
"89","EOTL/P",2,NA,NA,"TF-TFd -- EOTL/P"
"90","EOTL/S",11,NA,NA,"TF-TFd -- EOTL/S"
"91","EOTnL/P",0,NA,NA,"TF-TFd -- EOTnL/P"
"92","MXnL/P",90,NA,NA,"TF-TFd -- MXnL/P"
"93","MXnL/S",6,NA,NA,"TF-TFd -- MXnL/S"
"94","P",195,NA,NA,"TF-TFd -- P"
"95","VHL/S",0,NA,NA,"TF-TFd -- VHL/S"
"96","VHnL/P",6,NA,NA,"TF-TFd -- VHnL/P"
"97","BCO/P",1715,-0.62,0,"TFd-TF -- BCO/P"
"98","BCO/S",384,-0.96,0,"TFd-TF -- BCO/S"
"99","BE/P",1225,-0.68,0,"TFd-TF -- BE/P"
"100","BE/S",488,-0.73,0,"TFd-TF -- BE/S"
"101","BM/P",108,-0.55,0,"TFd-TF -- BM/P"
"102","BM/S",31,-0.85,0,"TFd-TF -- BM/S"
"103","EOTL/P",3,-0.09,0,"TFd-TF -- EOTL/P"
"104","EOTL/S",11,-0.09,0,"TFd-TF -- EOTL/S"
"105","MXL/P",258,-0.15,0,"TFd-TF -- MXL/P"
"106","MXL/S",30,-0.32,0,"TFd-TF -- MXL/S"
"107","MXnL/P",41,-0.13,0,"TFd-TF -- MXnL/P"
"108","MXnL/S",4,-0.13,0,"TFd-TF -- MXnL/S"
"109","P",113,-0.3511,0,"TFd-TF -- P"
"110","SC/P",326,-0.81,0,"TFd-TF -- SC/P"
"111","SC/S",198,-0.68,0,"TFd-TF -- SC/S"
"112","SP/P",605,-1.21,0,"TFd-TF -- SP/P"
"113","SP/S",72,-1.64,0,"TFd-TF -- SP/S"
"114","SSC/P",365,-1.76,0,"TFd-TF -- SSC/P"
"115","SSC/S",78,-1.18,0,"TFd-TF -- SSC/S"
"116","VHL/P",43,-0.12,0,"TFd-TF -- VHL/P"
"117","VHL/S",5,-0.12,0,"TFd-TF -- VHL/S"
"118","VHnL/P",2,-0.17,0,"TFd-TF -- VHnL/P"
"119","BC ",3,NA,NA,"TFd-TF -- BC "
"120","EOTnL/P",0,NA,NA,"TFd-TF -- EOTnL/P"
"121","BCO/P",1715,-0.62,0,"OU-TF -- BCO/P"
"122","BCO/S",384,-0.96,0,"OU-TF -- BCO/S"
"123","BE/P",1225,-0.68,0,"OU-TF -- BE/P"
"124","BE/S",488,-0.73,0,"OU-TF -- BE/S"
"125","BM/P",108,-0.55,0,"OU-TF -- BM/P"
"126","BM/S",31,-0.85,0,"OU-TF -- BM/S"
"127","EOTL/P",3,-0.09,0,"OU-TF -- EOTL/P"
"128","EOTL/S",11,-0.09,0,"OU-TF -- EOTL/S"
"129","MXL/P",258,-0.15,0,"OU-TF -- MXL/P"
"130","MXL/S",30,-0.32,0,"OU-TF -- MXL/S"
"131","MXnL/P",41,-0.13,0,"OU-PRAD -- MXnL/P"
"132","MXnL/S",4,-0.13,0,"OU-PRAD -- MXnL/S"
"133","P",113,-0.3511,0,"OU-PRAD -- P"
"134","SC/P",326,-0.81,0,"OU-TF -- SC/P"
"135","SC/S",198,-0.68,0,"OU-TF -- SC/S"
"136","SP/P",605,-1.21,0,"OU-TF -- SP/P"
"137","SP/S",72,-1.64,0,"OU-TF -- SP/S"
"138","SSC/P",365,-1.76,0,"OU-TF -- SSC/P"
"139","SSC/S",78,-1.18,0,"OU-TF -- SSC/S"
"140","VHL/P",43,-0.12,0,"OU-TF -- VHL/P"
"141","VHL/S",5,-0.12,0,"OU-TF -- VHL/S"
"142","VHnL/P",2,-0.17,0,"OU-PRAD -- VHnL/P"
"143","BC ",3,NA,NA,"OU-TF -- BC "
"144","EOTnL/P",0,NA,NA,"OU-PRAD -- EOTnL/P"
