"","numero","Estrato","parametro","Ulwr","Uupr"
"1",0,"BC",1.73315164841659,-353.212594118699,353.212594118699
"2",0,"BCOp",1.40088980724961,-269.969064358074,269.969064358074
"3",0,"BCOs",1.16266952227948,-244.345351555338,244.345351555338
"4",0,"BEp",1.05276575349127,-258.887394353252,258.887394353252
"5",0,"BEs",0.926730697823557,-241.035597396565,241.035597396565
"6",0,"BMp",2.78907173118202,-232.657385663921,232.657385663921
"7",0,"BMs",1.18194928361496,-181.013761796273,181.013761796273
"8",0,"EOTLp",1.17985556963662,-751.554463584779,751.554463584779
"9",0,"EOTLs",0.276729787810493,-309.045593162974,309.045593162974
"10",0,"MXLp",0.254435174307368,-434.795413740626,434.795413740626
"11",0,"MXLs",0.495712988565667,-377.45586529471,377.45586529471
"12",0,"MXnLp",0.0842697299518269,-253.260456420012,253.260456420012
"13",0,"MXnLs",0.177832413509753,-547.295652584801,547.295652584801
"14",0,"P",0.538912582666462,-256.367678138359,256.367678138359
"15",0,"SCp",1.1467870105778,-194.664379254631,194.664379254631
"16",0,"SCs",0.938308727361484,-238.516031744838,238.516031744838
"17",0,"SPp",2.08019209359203,-186.176692263882,186.176692263882
"18",0,"SPs",1.41920408711643,-250.367950516657,250.367950516657
"19",0,"SSCp",2.0134506456073,-149.094452513265,149.094452513265
"20",0,"SSCs",1.44092764756207,-223.221159523454,223.221159523454
"21",0,"VHLp",1.36967511336339,-374.039012232778,374.039012232778
"22",0,"VHLs",0.204030232543195,-142.349682608414,142.349682608414
"23",0,"VHnLp",0.574895682785932,-1242.3082247172,1242.3082247172
