"","Estrato","n","FE","U","DinEstFE"
"95","VHL/S",0,NA,NA,"TF-TFd -- VHL/S"
"96","VHnL/P",6,NA,NA,"TF-TFd -- VHnL/P"
"97","BC ",3,NA,NA,"TFd-TF -- BC "
"98","BCO/P",1715,-0.62,0,"TFd-TF -- BCO/P"
"99","BCO/S",384,-0.96,0,"TFd-TF -- BCO/S"
"100","BE/P",1225,-0.68,0,"TFd-TF -- BE/P"
"101","BE/S",488,-0.73,0,"TFd-TF -- BE/S"
"102","BM/P",108,-0.55,0,"TFd-TF -- BM/P"
"103","BM/S",31,-0.85,0,"TFd-TF -- BM/S"
"104","EOTL/P",3,-0.09,0,"TFd-TF -- EOTL/P"
"105","EOTL/S",11,-0.09,0,"TFd-TF -- EOTL/S"
"106","EOTnL/P",0,NA,NA,"TFd-TF -- EOTnL/P"
"107","MXL/P",258,-0.15,0,"TFd-TF -- MXL/P"
"108","MXL/S",30,-0.32,0,"TFd-TF -- MXL/S"
"109","MXnL/P",41,-0.13,0,"TFd-TF -- MXnL/P"
"110","MXnL/S",4,-0.13,0,"TFd-TF -- MXnL/S"
"111","P",113,-0.3511,0,"TFd-TF -- P"
"112","SC/P",326,-0.81,0,"TFd-TF -- SC/P"
"113","SC/S",198,-0.68,0,"TFd-TF -- SC/S"
"114","SP/P",605,-1.21,0,"TFd-TF -- SP/P"
"115","SP/S",72,-1.64,0,"TFd-TF -- SP/S"
"116","SSC/P",365,-1.76,0,"TFd-TF -- SSC/P"
"117","SSC/S",78,-1.18,0,"TFd-TF -- SSC/S"
"118","VHL/P",43,-0.12,0,"TFd-TF -- VHL/P"
"119","VHL/S",5,-0.12,0,"TFd-TF -- VHL/S"
"120","VHnL/P",2,-0.17,0,"TFd-TF -- VHnL/P"
"121","BC ",3,NA,NA,"OU-TF -- BC "
"122","BCO/P",1715,-0.62,0,"OU-TF -- BCO/P"
"123","BCO/S",384,-0.96,0,"OU-TF -- BCO/S"
"124","BE/P",1225,-0.68,0,"OU-TF -- BE/P"
"125","BE/S",488,-0.73,0,"OU-TF -- BE/S"
"126","BM/P",108,-0.55,0,"OU-TF -- BM/P"
"127","BM/S",31,-0.85,0,"OU-TF -- BM/S"
"128","EOTL/P",3,-0.09,0,"OU-TF -- EOTL/P"
"129","EOTL/S",11,-0.09,0,"OU-TF -- EOTL/S"
"130","EOTnL/P",0,NA,NA,"OU-PRAD -- EOTnL/P"
"131","MXL/P",258,-0.15,0,"OU-TF -- MXL/P"
"132","MXL/S",30,-0.32,0,"OU-TF -- MXL/S"
"133","MXnL/P",41,-0.13,0,"OU-PRAD -- MXnL/P"
"134","MXnL/S",4,-0.13,0,"OU-PRAD -- MXnL/S"
"135","P",113,-0.3511,0,"OU-PRAD -- P"
"136","SC/P",326,-0.81,0,"OU-TF -- SC/P"
"137","SC/S",198,-0.68,0,"OU-TF -- SC/S"
"138","SP/P",605,-1.21,0,"OU-TF -- SP/P"
"139","SP/S",72,-1.64,0,"OU-TF -- SP/S"
"140","SSC/P",365,-1.76,0,"OU-TF -- SSC/P"
"141","SSC/S",78,-1.18,0,"OU-TF -- SSC/S"
"142","VHL/P",43,-0.12,0,"OU-TF -- VHL/P"
"143","VHL/S",5,-0.12,0,"OU-TF -- VHL/S"
"144","VHnL/P",2,-0.17,0,"OU-PRAD -- VHnL/P"
