folio,sitio,tipificacion,carbono_arboles
325,2,Inicial,0.1820569
325,3,Inicial,0.10453823
325,4,Inicial,0.08156636
326,1,Inicial,0
326,2,Inicial,0
326,3,Inicial,0.0121624
326,4,Inicial,0.0798365
327,1,Monitoreo,NULL
327,2,Monitoreo,NULL
327,3,Monitoreo,NULL
327,4,Monitoreo,NULL
329,1,Inicial,0
329,2,Inicial,0
329,3,Inicial,0
329,4,Inicial,0
333,1,Monitoreo,NULL
333,2,Monitoreo,NULL
333,3,Monitoreo,NULL
333,4,Monitoreo,NULL
337,1,Monitoreo,NULL
337,2,Monitoreo,NULL
337,3,Monitoreo,NULL
337,4,Monitoreo,NULL
341,1,Monitoreo,NULL
341,2,Monitoreo,NULL
341,3,Monitoreo,NULL
341,4,Monitoreo,NULL
345,1,Monitoreo,NULL
345,2,Monitoreo,NULL
345,3,Monitoreo,NULL
345,4,Monitoreo,NULL
349,1,Inicial,0
349,2,Inicial,0
349,3,Inicial,0
349,4,Inicial,0
353,1,Inicial,0
353,2,Inicial,0
353,3,Inicial,0
353,4,Inicial,0
373,1,Inicial,0.2872888
373,2,Inicial,0
373,3,Inicial,0.1530567
373,4,Inicial,0
374,1,Monitoreo,NULL
374,2,Monitoreo,NULL
374,3,Monitoreo,NULL
374,4,Monitoreo,NULL
405,1,Inicial,0
405,2,Inicial,0
405,3,Inicial,0
405,4,Inicial,0
407,1,Inicial,0
407,2,Inicial,0
407,3,Inicial,0
407,4,Inicial,0
409,1,Inicial,0
409,2,Inicial,0
409,3,Inicial,0
409,4,Inicial,0
413,1,Reemplazo,0
413,2,Reemplazo,0
413,3,Reemplazo,0
413,4,Reemplazo,0
415,1,Inicial,0
415,2,Inicial,0
415,3,Inicial,0
415,4,Inicial,0
417,1,Inicial,0
417,2,Inicial,0
417,3,Inicial,0
417,4,Inicial,0
419,1,Inicial,3.383011
419,2,Inicial,0.808354
419,3,Inicial,1.72334
419,4,Inicial,2.924276
420,1,Reemplazo,0.224116
420,2,Reemplazo,1.21415759
420,3,Reemplazo,0.242305
420,4,Reemplazo,0.758353
421,1,Inicial,0
421,2,Inicial,0.1574452
421,3,Inicial,0
421,4,Inicial,0
423,1,Inicial,0.01215342
423,2,Inicial,0
423,3,Inicial,2.35553845
423,4,Inicial,0.00607671
473,1,Inicial,0
473,2,Inicial,0
473,3,Inicial,0
473,4,Inicial,0.761469
475,1,Monitoreo,NULL
475,2,Monitoreo,NULL
475,3,Monitoreo,NULL
475,4,Monitoreo,NULL
489,1,Reemplazo,0.2382211
489,2,Reemplazo,0
489,3,Reemplazo,0.2683564
489,4,Reemplazo,0.0371303
492,1,Inicial,0
492,2,Monitoreo,NULL
492,3,Monitoreo,NULL
492,4,Monitoreo,NULL
509,1,Inicial,0
509,2,Inicial,0
509,3,Inicial,0
509,4,Inicial,0
510,1,Inicial,0
510,2,Inicial,0
510,3,Inicial,0
510,4,Inicial,0
511,1,Inicial,0
511,2,Inicial,0
511,3,Inicial,0.01034393
511,4,Inicial,0
513,1,Monitoreo,NULL
513,2,Monitoreo,NULL
513,3,Monitoreo,NULL
513,4,Monitoreo,NULL
515,1,Inicial,0
515,2,Inicial,0
515,3,Inicial,0
515,4,Inicial,0
517,1,Monitoreo,NULL
517,2,Monitoreo,NULL
517,3,Monitoreo,NULL
517,4,Monitoreo,NULL
519,1,Monitoreo,NULL
519,2,Monitoreo,NULL
519,3,Monitoreo,NULL
519,4,Monitoreo,NULL
521,1,Inicial,0
521,2,Inicial,0
521,3,Inicial,0
521,4,Inicial,0
523,1,Reemplazo,0.02048956
523,2,Reemplazo,0.0808036
523,3,Reemplazo,0.0123774
523,4,Reemplazo,0.00503566
525,1,Reemplazo,0.0247483
525,2,Reemplazo,0
525,3,Reemplazo,0.3361882
525,4,Reemplazo,0
526,1,Inicial,2.2015817
526,2,Inicial,5.5891099
526,3,Inicial,3.64831717
526,4,Inicial,0.00804693
527,1,Inicial,0.0197686
527,2,Inicial,0.02729964
527,3,Inicial,0.00641472
527,4,Inicial,0.00448884
528,1,Inicial,0.0153981
528,2,Inicial,0.59899586
528,3,Inicial,0.022777
528,4,Inicial,0.452293
529,1,Monitoreo,NULL
529,2,Monitoreo,NULL
529,3,Monitoreo,NULL
529,4,Monitoreo,NULL
533,1,Inicial,0
533,2,Inicial,0
533,3,Inicial,0
533,4,Inicial,0
537,1,Reemplazo,0
537,2,Reemplazo,0
537,3,Reemplazo,0.00871294
537,4,Reemplazo,0
541,1,Monitoreo,NULL
541,2,Monitoreo,NULL
541,3,Monitoreo,NULL
541,4,Monitoreo,NULL
545,1,Inicial,0
545,2,Monitoreo,NULL
545,3,Monitoreo,NULL
545,4,Monitoreo,NULL
549,1,Monitoreo,NULL
549,2,Monitoreo,NULL
549,3,Monitoreo,NULL
549,4,Monitoreo,NULL
553,1,Monitoreo,NULL
553,2,Monitoreo,NULL
553,3,Monitoreo,NULL
553,4,Monitoreo,NULL
557,1,Inicial,0
557,2,Inicial,0
557,3,Inicial,0
557,4,Inicial,0
561,1,Inicial,0
561,2,Inicial,0
561,3,Inicial,0
561,4,Inicial,0
580,1,Inicial,0.97150796
580,2,Inicial,1.0747098
580,3,Inicial,0.14717011
580,4,Inicial,0.6907395
581,1,Reemplazo,0.37016946
581,2,Reemplazo,0.7450106
581,3,Reemplazo,0.3491424
581,4,Reemplazo,0.64795202
618,1,Reemplazo,0
618,2,Reemplazo,0
618,3,Reemplazo,0
618,4,Reemplazo,0
620,1,Inicial,0
620,2,Inicial,0
620,3,Inicial,0
620,4,Inicial,0
622,1,Monitoreo,NULL
622,2,Monitoreo,NULL
622,3,Monitoreo,NULL
622,4,Monitoreo,NULL
624,1,Reemplazo,0
624,2,Reemplazo,0
624,3,Reemplazo,0
624,4,Reemplazo,0
628,1,Inicial,0
628,2,Inicial,0
628,3,Inicial,0
628,4,Inicial,0
630,1,Inicial,0
630,2,Inicial,0
630,3,Inicial,0
630,4,Inicial,0
632,1,Inicial,0.01088869
632,2,Inicial,0.80778609
632,3,Inicial,0
632,4,Inicial,0.409171
634,1,Inicial,1.17444137
634,2,Inicial,1.63199399
634,3,Inicial,1.99774765
634,4,Inicial,0.7372578
670,1,Reemplazo,0
670,2,Reemplazo,0.00782557
670,3,Reemplazo,0
670,4,Reemplazo,0
674,1,Inicial,0
674,2,Inicial,0
674,3,Inicial,0
674,4,Inicial,0
734,1,Monitoreo,NULL
734,2,Monitoreo,NULL
734,3,Monitoreo,NULL
734,4,Monitoreo,NULL
736,1,Inicial,0
736,2,Inicial,1.7393547
736,3,Inicial,0
736,4,Inicial,0.0597531
738,1,Inicial,0
738,2,Inicial,0
738,3,Inicial,0
738,4,Inicial,0
742,1,Inicial,0
742,2,Inicial,0
742,3,Inicial,0
742,4,Inicial,0
744,1,Inicial,0.0521319
744,2,Inicial,1.55775
744,3,Inicial,0
744,4,Inicial,0
746,1,Inicial,0.0325466
746,2,Inicial,0
746,3,Inicial,0
746,4,Inicial,0
748,1,Inicial,0
748,2,Inicial,0.3130141
748,3,Inicial,0.62993765
748,4,Inicial,0.07774596
750,1,Monitoreo,NULL
750,2,Monitoreo,NULL
750,3,Monitoreo,NULL
750,4,Monitoreo,NULL
754,1,Inicial,0
754,2,Inicial,0
754,3,Inicial,0
754,4,Inicial,0
758,1,Inicial,0
758,2,Monitoreo,NULL
758,3,Monitoreo,NULL
758,4,Monitoreo,NULL
762,1,Reemplazo,0
762,2,Reemplazo,0
762,3,Reemplazo,0
762,4,Reemplazo,0
766,1,Monitoreo,NULL
766,2,Monitoreo,NULL
766,3,Monitoreo,NULL
766,4,Monitoreo,NULL
770,1,Inicial,0
770,2,Inicial,0
770,3,Inicial,0
770,4,Inicial,0
774,1,Monitoreo,NULL
774,2,Monitoreo,NULL
774,3,Monitoreo,NULL
774,4,Monitoreo,NULL
778,1,Monitoreo,NULL
778,2,Monitoreo,NULL
778,3,Monitoreo,NULL
778,4,Monitoreo,NULL
782,1,Monitoreo,NULL
782,2,Monitoreo,NULL
782,3,Monitoreo,NULL
782,4,Monitoreo,NULL
786,1,Inicial,0
786,2,Inicial,0
786,3,Inicial,0
786,4,Inicial,0
790,1,Inicial,0
790,2,Inicial,0
790,3,Inicial,0
790,4,Inicial,0
856,1,Monitoreo,NULL
856,2,Monitoreo,NULL
856,3,Monitoreo,NULL
856,4,Monitoreo,NULL
858,1,Monitoreo,NULL
858,2,Monitoreo,NULL
858,3,Monitoreo,NULL
858,4,Monitoreo,NULL
860,1,Inicial,0
860,2,Inicial,0
860,3,Inicial,0
860,4,Inicial,0
862,1,Inicial,0
862,2,Inicial,0
862,3,Inicial,0
862,4,Inicial,0
864,1,Inicial,0.00584015
864,2,Inicial,0.00635197
864,3,Inicial,0
864,4,Inicial,0.02415656
866,1,Reemplazo,0
866,2,Reemplazo,0
866,3,Reemplazo,0
866,4,Reemplazo,0.00607671
867,1,Inicial,0
867,2,Inicial,0
867,3,Inicial,0.00517975
867,4,Inicial,0.2291695
868,1,Inicial,0.22026968
868,2,Inicial,0.45916194
868,3,Inicial,0.94854452
868,4,Inicial,0.46785479
916,1,Inicial,0
916,2,Inicial,0
916,3,Inicial,0
916,4,Inicial,0
985,1,Monitoreo,NULL
985,2,Monitoreo,NULL
985,3,Monitoreo,NULL
985,4,Monitoreo,NULL
987,1,Reemplazo,0
987,2,Reemplazo,0
987,3,Reemplazo,0
987,4,Reemplazo,0
989,1,Reemplazo,0
989,2,Reemplazo,0
989,3,Reemplazo,0
989,4,Reemplazo,0
991,1,Inicial,0
991,2,Inicial,0
991,3,Inicial,0
991,4,Inicial,0
993,1,Inicial,0
993,2,Inicial,0
993,3,Inicial,0
993,4,Inicial,0
995,1,Inicial,0
995,2,Inicial,0
995,3,Inicial,0
995,4,Inicial,0
997,1,Inicial,0
997,2,Inicial,0
997,3,Inicial,0.0438695
997,4,Inicial,0
999,1,Inicial,0
999,2,Inicial,0
999,3,Inicial,0
999,4,Inicial,0
1001,1,Monitoreo,NULL
1001,2,Monitoreo,NULL
1001,3,Monitoreo,NULL
1001,4,Monitoreo,NULL
1005,1,Inicial,0.01608857
1005,2,Inicial,0
1005,3,Inicial,0
1005,4,Inicial,0
1009,1,Inicial,0
1009,2,Inicial,0
1009,3,Inicial,0
1009,4,Inicial,0
1013,1,Reemplazo,0
1013,2,Reemplazo,0
1013,3,Reemplazo,0
1013,4,Reemplazo,0
1017,1,Monitoreo,NULL
1017,2,Monitoreo,NULL
1017,3,Monitoreo,NULL
1017,4,Monitoreo,NULL
1021,1,Monitoreo,NULL
1021,2,Monitoreo,NULL
1021,3,Monitoreo,NULL
1021,4,Monitoreo,NULL
1025,1,Inicial,0
1025,2,Inicial,0
1025,3,Inicial,0
1025,4,Inicial,0
1029,1,Monitoreo,NULL
1029,2,Monitoreo,NULL
1029,3,Monitoreo,NULL
1029,4,Monitoreo,NULL
1033,1,Monitoreo,NULL
1033,2,Monitoreo,NULL
1033,3,Monitoreo,NULL
1033,4,Monitoreo,NULL
1037,1,Monitoreo,NULL
1037,2,Monitoreo,NULL
1037,3,Monitoreo,NULL
1037,4,Monitoreo,NULL
1041,1,Inicial,0
1041,2,Inicial,0
1041,3,Inicial,0
1041,4,Inicial,0
1043,1,Inicial,0
1043,2,Inicial,0
1043,3,Inicial,0
1043,4,Inicial,0
1045,1,Inicial,0
1045,2,Inicial,0
1045,3,Inicial,0
1045,4,Inicial,0
1049,1,Inicial,0.02081163
1049,2,Inicial,0
1049,3,Inicial,0
1049,4,Inicial,0.01584852
1123,1,Vacío,NULL
1123,2,Vacío,NULL
1123,3,Vacío,NULL
1123,4,Vacío,NULL
1125,1,Monitoreo,NULL
1125,2,Monitoreo,NULL
1125,3,Monitoreo,NULL
1125,4,Monitoreo,NULL
1127,1,Monitoreo,NULL
1127,2,Monitoreo,NULL
1127,3,Monitoreo,NULL
1127,4,Monitoreo,NULL
1129,1,Reemplazo,0
1129,2,Reemplazo,0
1129,3,Reemplazo,0
1129,4,Reemplazo,0
1131,1,Reemplazo,0
1131,2,Reemplazo,0
1131,3,Reemplazo,0
1131,4,Reemplazo,0
1133,1,Inicial,0
1133,2,Inicial,0.02319688
1133,3,Inicial,0.05092888
1133,4,Inicial,0
1139,1,Monitoreo,NULL
1139,2,Monitoreo,NULL
1139,3,Monitoreo,NULL
1139,4,Monitoreo,NULL
1177,1,Inicial,0
1177,2,Inicial,0
1177,3,Inicial,0
1177,4,Inicial,0
1185,1,Inicial,0
1185,2,Inicial,0
1185,3,Inicial,0
1185,4,Inicial,0.0101071
1187,1,Inicial,0
1187,2,Inicial,0.00717814
1187,3,Inicial,0
1187,4,Inicial,0
1263,1,Reemplazo,0
1263,2,Reemplazo,0
1263,3,Reemplazo,0
1263,4,Reemplazo,0
1265,1,Reemplazo,0
1265,2,Reemplazo,0
1265,3,Reemplazo,0
1265,4,Reemplazo,0
1267,1,Monitoreo,NULL
1267,2,Monitoreo,NULL
1267,3,Monitoreo,NULL
1267,4,Monitoreo,NULL
1269,1,Reemplazo,0
1269,2,Reemplazo,0
1269,3,Reemplazo,0
1269,4,Reemplazo,0
1271,1,Monitoreo,NULL
1271,2,Monitoreo,NULL
1271,3,Monitoreo,NULL
1271,4,Monitoreo,NULL
1273,1,Reemplazo,0
1273,2,Reemplazo,0
1273,3,Reemplazo,0
1273,4,Reemplazo,0
1275,1,Inicial,0
1275,2,Inicial,0
1275,3,Inicial,0
1275,4,Inicial,0.02249754
1277,1,Inicial,0
1277,2,Inicial,0.0269399
1277,3,Inicial,0
1277,4,Inicial,0.03703629
1279,1,Inicial,0
1279,2,Inicial,0
1279,3,Inicial,0.00534495
1279,4,Inicial,0
1281,1,Reemplazo,0
1281,2,Reemplazo,0
1281,3,Reemplazo,0
1281,4,Reemplazo,0
1283,1,Inicial,0.00462038
1283,2,Inicial,0
1283,3,Inicial,0
1283,4,Inicial,0.00747012
1287,1,Inicial,0
1287,2,Inicial,0
1287,3,Inicial,0
1287,4,Inicial,0.0356527
1291,1,Inicial,0.0104662
1291,2,Inicial,0.04001568
1291,3,Inicial,0
1291,4,Inicial,0
1295,1,Monitoreo,NULL
1295,2,Monitoreo,NULL
1295,3,Monitoreo,NULL
1295,4,Monitoreo,NULL
1297,1,Inicial,0
1297,2,Inicial,0
1297,3,Inicial,0
1297,4,Inicial,0
1301,1,Inicial,0
1301,2,Inicial,0
1301,3,Inicial,0
1301,4,Inicial,0
1305,1,Monitoreo,NULL
1305,2,Monitoreo,NULL
1305,3,Monitoreo,NULL
1305,4,Monitoreo,NULL
1309,1,Monitoreo,NULL
1309,2,Monitoreo,NULL
1309,3,Monitoreo,NULL
1309,4,Monitoreo,NULL
1313,1,Inicial,0
1313,2,Inicial,0.0124877
1313,3,Inicial,0
1313,4,Inicial,0
1317,1,Inicial,0
1317,2,Inicial,0
1317,3,Inicial,0
1317,4,Inicial,0
1321,1,Inicial,0
1321,2,Inicial,0
1321,3,Inicial,0
1321,4,Inicial,0
1325,1,Inicial,0
1325,2,Inicial,0.02530337
1325,3,Inicial,0.1181175
1325,4,Inicial,0.04916148
1329,1,Inicial,0.00731943
1329,2,Inicial,0
1329,3,Inicial,0
1329,4,Inicial,0
1333,1,Inicial,0
1333,2,Inicial,0
1333,3,Inicial,0
1333,4,Inicial,0
1409,1,Reemplazo,0
1409,2,Reemplazo,0
1409,3,Reemplazo,0
1409,4,Reemplazo,0
1411,1,Inicial,0
1411,2,Inicial,0
1411,3,Inicial,0
1411,4,Inicial,0
1413,1,Inicial,0
1413,2,Inicial,0
1413,3,Inicial,0.21459914
1413,4,Inicial,0
1415,1,Monitoreo,NULL
