Estrato,n,FE,U
BC,8,34.6,38.1
BCO/P,4404,33.6,2.1
BCO/S,1137,22.1,4.8
BE/P,3365,20.7,2.7
BE/S,1466,14.7,4.9
BM/P,357,37.7,9.9
BM/S,160,18.1,19
EOTL/P,32,3.5,95.1
EOTL/S,31,4.6,55.8
EOTnL/P,3,NA,NA
MXL/P,1484,4.3,8.9
MXL/S,198,3.2,28.8
MXnL/P,864,0.6,23.5
MXnL/S,81,0.9,91.7
P,1806,3.3,12.6
SC/P,939,17.4,5.3
SC/S,613,12.6,7.6
SP/P,2375,40.4,2.9
SP/S,585,19.7,9.1
SSC/P,993,30.2,4.8
SSC/S,491,16.1,8.9
VHL/P,246,13.3,22.4
VHL/S,17,8.1,66.4
VHnL/P,156,1.2,59.2
