"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"295","TF-PRA -- SSC/S","SSC/S - P",52333,"DEFORESTACION PRADERA","TF-PRA","SSC/S","SSC/S",491,16.1,8.9,13083.25,210640.325,0,8.9,3514495937540.73
"296","TF-PRA -- VHL/P","VHL/P - EOTnL/P",691,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,172.75,2297.575,0,22.4,2648716217.8624
"297","TF-PRA -- VHL/P","VHL/P - MXnL/P",161,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,40.25,535.325,0,22.4,143790796.0384
"298","TF-PRA -- VHL/P","VHL/P - MXnL/S",90,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,22.5,299.25,0,22.4,44932890.24
"299","TF-PRA -- VHL/P","VHL/P - P",2711,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,677.75,9014.075,0,22.4,40769780297.4784
"300","TF-PRA -- VHL/P","VHL/P - VHnL/P",2695,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,673.75,8960.875,0,22.4,40289963596.96
"301","TF-PRA -- VHL/S","VHL/S - VHnL/P",353,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,8.1,66.4,88.25,714.825,0,66.4,2252867368.7844
"302","TF-PRA -- VHL/S","VHL/S - P",182,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,8.1,66.4,45.5,368.55,0,66.4,598865079.7584
"303","TF-PRA -- VHnL/P",NA,NA,NA,NA,NA,"VHnL/P",156,1.2,59.2,NA,NA,0,59.2,NA
"304","TF-TF -- BC","BCO/S - BC",40,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,40,NA,0,NA,NA
"305","TF-TF -- BC","BCO/P - BC",8199,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,8199,NA,0,NA,NA
"306","TF-TF -- BC","SP/S - BC",68,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,68,NA,0,NA,NA
"307","TF-TF -- BC","SSC/S - BC",83,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,83,NA,0,NA,NA
"308","TF-TF -- BC","BE/S - BC",2,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,2,NA,0,NA,NA
"309","TF-TF -- BC","SC/P - BC",66,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,66,NA,0,NA,NA
"310","TF-TF -- BC","SSC/P - BC",3,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,3,NA,0,NA,NA
"311","TF-TF -- BC","SP/P - BC",1860,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,1860,NA,0,NA,NA
"312","TF-TF -- BC","BC - BC",34798,"PERMANENCIA","TF-TF","BC","BC",6,NA,NA,34798,NA,0,NA,NA
"313","TF-TF -- BCO/P","SC/S - BCO/P",1062,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,1062,-456.66,0,25,130336472.25
"314","TF-TF -- BCO/P","BM/P - BCO/P",147,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,147,-63.21,0,25,2497190.0625
"315","TF-TF -- BCO/P","MXL/S - BCO/P",338,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,338,-145.34,0,25,13202322.25
"316","TF-TF -- BCO/P","BE/S - BCO/P",10937,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,10937,-4702.91,0,25,13823351542.5625
"317","TF-TF -- BCO/P","BCO/P - BCO/P",12766178,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,12766178,-5489456.54,0,25,18833833190342984
"318","TF-TF -- BCO/P","MXL/P - BCO/P",47830,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,47830,-20566.9,0,25,264373359756.25
"319","TF-TF -- BCO/P","BM/S - BCO/P",1054,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,1054,-453.22,0,25,128380230.25
"320","TF-TF -- BCO/P","SP/P - BCO/P",32,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,32,-13.76,0,25,118336
"321","TF-TF -- BCO/P","SSC/S - BCO/P",2,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,2,-0.86,0,25,462.25
"322","TF-TF -- BCO/P","BC - BCO/P",293,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,293,-125.99,0,25,9920925.0625
"323","TF-TF -- BCO/P","BE/P - BCO/P",9505,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3190,-0.43,25,9505,-4087.15,0,25,10440496951.5625
