"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"427","TF-TF -- SC/S","MXL/S - SC/S",248,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,248,-163.68,0,35,32819149.44
"428","TF-TF -- SC/S","MXL/P - SC/S",378,"PERMANENCIA","TF-TF","SC/S","SC/S",413,-0.66,35,378,-249.48,0,35,76244331.24
"429","TF-TF -- SP/P","VHL/P - SP/P",6442,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,6442,-3092.16,0,51,24869340464.0256
"430","TF-TF -- SP/P","SC/P - SP/P",353,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,353,-169.44,0,51,74674485.2736
"431","TF-TF -- SP/P","SSC/P - SP/P",52463,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,52463,-25182.24,0,51,1649411694897.18
"432","TF-TF -- SP/P","SP/P - SP/P",7867576,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,7867576,-3776436.48,0,51,37094089939921928
"433","TF-TF -- SP/P","BE/P - SP/P",306,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,306,-146.88,0,51,56113283.1744
"434","TF-TF -- SP/P","BM/P - SP/P",56,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,56,-26.88,0,51,1879311.9744
"435","TF-TF -- SP/P","BC - SP/P",606,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,606,-290.88,0,51,220073664.6144
"436","TF-TF -- SP/P","SSC/S - SP/P",8724,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,8724,-4187.52,0,51,45609377074.7904
"437","TF-TF -- SP/P","BE/S - SP/P",2,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,2,-0.96,0,51,2397.0816
"438","TF-TF -- SP/P","BM/S - SP/P",1,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,1,-0.48,0,51,599.2704
"439","TF-TF -- SP/P","EOTL/P - SP/P",63,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,63,-30.24,0,51,2378504.2176
"440","TF-TF -- SP/P","EOTL/S - SP/P",53,"PERMANENCIA","TF-TF","SP/P","SP/P",1436,-0.48,51,53,-25.44,0,51,1683350.5536
"441","TF-TF -- SP/S","VHL/P - SP/S",374,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,374,-235.62,0,63,220346117.2836
"442","TF-TF -- SP/S","SP/S - SP/S",1668789,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,1668789,-1051337.07,0,63,4386973940347298
"443","TF-TF -- SP/S","BM/P - SP/S",16,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,16,-10.08,0,63,403275.8016
"444","TF-TF -- SP/S","SC/P - SP/S",139,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,139,-87.57,0,63,30436295.9481
"445","TF-TF -- SP/S","BE/P - SP/S",73,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,73,-45.99,0,63,8394752.9169
"446","TF-TF -- SP/S","SSC/P - SP/S",3157,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,3157,-1988.91,0,63,15700423299.7689
"447","TF-TF -- SP/S","SC/S - SP/S",4,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,4,-2.52,0,63,25204.7376
"448","TF-TF -- SP/S","EOTL/P - SP/S",11,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,11,-6.93,0,63,190610.8281
"449","TF-TF -- SP/S","SSC/S - SP/S",1552,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,1552,-977.76,0,63,3794422017.2544
"450","TF-TF -- SP/S","BM/S - SP/S",1,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,1,-0.63,0,63,1575.2961
"451","TF-TF -- SP/S","BCO/P - SP/S",26,"PERMANENCIA","TF-TF","SP/S","SP/S",280,-0.63,63,26,-16.38,0,63,1064900.1636
"452","TF-TF -- SSC/P","VHL/P - SSC/P",384,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,384,-522.24,0,18,88366016.1024
"453","TF-TF -- SSC/P","BCO/P - SSC/P",4,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,4,-5.44,0,18,9588.3264
"454","TF-TF -- SSC/P","SP/P - SSC/P",12725,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,12725,-17306,0,18,97037234064
"455","TF-TF -- SSC/P","SC/S - SSC/P",986,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,986,-1340.96,0,18,582608285.7984
"456","TF-TF -- SSC/P","SP/S - SSC/P",2978,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,2978,-4050.08,0,18,5314619954.0736
"457","TF-TF -- SSC/P","SSC/P - SSC/P",2748648,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,2748648,-3738161.28,0,18,4527527320714362
"458","TF-TF -- SSC/P","SC/P - SSC/P",10760,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,10760,-14633.6,0,18,69382088663.04
"459","TF-TF -- SSC/P","BE/S - SSC/P",36,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,36,-48.96,0,18,776654.4384
"460","TF-TF -- SSC/P","BE/P - SSC/P",291,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,291,-395.76,0,18,50746816.7424
"461","TF-TF -- SSC/P","BM/S - SSC/P",66,"PERMANENCIA","TF-TF","SSC/P","SSC/P",680,-1.36,18,66,-89.76,0,18,2610421.8624
"462","TF-TF -- SSC/S","BCO/P - SSC/S",1,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,1,-0.63,0,63,1575.2961
"463","TF-TF -- SSC/S","BE/P - SSC/S",15,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,15,-9.45,0,63,354441.6225
"464","TF-TF -- SSC/S","SC/S - SSC/S",1582,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,1582,-996.66,0,63,3942531356.5764
"465","TF-TF -- SSC/S","BE/S - SSC/S",2817,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,2817,-1774.71,0,63,12500744873.2929
"466","TF-TF -- SSC/S","BM/S - SSC/S",64,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,64,-40.32,0,63,6452412.8256
"467","TF-TF -- SSC/S","SC/P - SSC/S",2635,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,2635,-1660.05,0,63,10937635263.9225
"468","TF-TF -- SSC/S","SP/P - SSC/S",1096,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,1096,-690.48,0,63,1892270880.0576
"469","TF-TF -- SSC/S","BM/P - SSC/S",68,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,68,-42.84,0,63,7284169.1664
"470","TF-TF -- SSC/S","SP/S - SSC/S",1814,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,1814,-1142.82,0,63,5183663045.4756
"471","TF-TF -- SSC/S","VHL/P - SSC/S",17,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,17,-10.71,0,63,455260.5729
"472","TF-TF -- SSC/S","SSC/S - SSC/S",839229,"PERMANENCIA","TF-TF","SSC/S","SSC/S",187,-0.63,63,839229,-528714.27,0,63,1109489415048181
"473","TF-TF -- VHL/P","SC/S - VHL/P",599,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,599,-616.97,0,56,1193724612.1024
"474","TF-TF -- VHL/P","MXL/P - VHL/P",885,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,885,-911.55,0,56,2605775790.24
"475","TF-TF -- VHL/P","SP/P - VHL/P",15777,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,15777,-16250.31,0,56,828131595501.37
"476","TF-TF -- VHL/P","SSC/P - VHL/P",41,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,41,-42.23,0,56,5592657.4144
"477","TF-TF -- VHL/P","MXL/S - VHL/P",66,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,66,-67.98,0,56,14492335.3344
"478","TF-TF -- VHL/P","SP/S - VHL/P",4,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,4,-4.12,0,56,53231.7184
"479","TF-TF -- VHL/P","SSC/S - VHL/P",82,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,82,-84.46,0,56,22370629.6576
"480","TF-TF -- VHL/P","SC/P - VHL/P",597,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,597,-614.91,0,56,1185766470.2016
"481","TF-TF -- VHL/P","EOTL/P - VHL/P",56,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,56,-57.68,0,56,10433416.8064
"482","TF-TF -- VHL/P","VHL/P - VHL/P",1054809,"PERMANENCIA","TF-TF","VHL/P","VHL/P",142,-1.03,56,1054809,-1086453.27,0,56,3701673899954622
"483","TF-TF -- VHL/S","SP/P - VHL/S",39,"PERMANENCIA","TF-TF","VHL/S","VHL/S",11,-1.03,105,39,-40.17,0,105,17790258.6225
"484","TF-TF -- VHL/S","SC/P - VHL/S",1,"PERMANENCIA","TF-TF","VHL/S","VHL/S",11,-1.03,105,1,-1.03,0,105,11696.4225
"485","TF-TF -- VHL/S","SC/S - VHL/S",25,"PERMANENCIA","TF-TF","VHL/S","VHL/S",11,-1.03,105,25,-25.75,0,105,7310264.0625
"486","TF-TF -- VHL/S","VHL/S - VHL/S",75029,"PERMANENCIA","TF-TF","VHL/S","VHL/S",11,-1.03,105,75029,-77279.87,0,105,65843265837066.3
"487","TF-TFd -- BC",NA,NA,NA,NA,NA,"BC",2,NA,NA,NA,NA,0,NA,NA
"488","TF-TFd -- BCO/P","BCO/P - BCO/S",22957,"DEGRADACION","TF-TFd","BCO/P","BCO/P",292,0.09,0,22957,2066.13,0,0,0
"489","TF-TFd -- BCO/S",NA,NA,NA,NA,NA,"BCO/S",285,0.42,0,NA,NA,0,0,NA
"490","TF-TFd -- BE/P","BE/P - BE/S",5355,"DEGRADACION","TF-TFd","BE/P","BE/P",818,0.24,0,5355,1285.2,0,0,0
"491","TF-TFd -- BE/S",NA,NA,NA,NA,NA,"BE/S",319,0.32,0,NA,NA,0,0,NA
"492","TF-TFd -- BM/P","BM/P - BM/S",2982,"DEGRADACION","TF-TFd","BM/P","BM/P",67,0.26,0,2982,775.32,0,0,0
"493","TF-TFd -- BM/S",NA,NA,NA,NA,NA,"BM/S",31,-6.13,0,NA,NA,0,0,NA
"494","TF-TFd -- EOTL/P","EOTL/P - EOTL/S",253,"DEGRADACION","TF-TFd","EOTL/P","EOTL/P",2,NA,NA,253,NA,0,NA,NA
"495","TF-TFd -- EOTL/S",NA,NA,NA,NA,NA,"EOTL/S",11,NA,NA,NA,NA,0,NA,NA
"496","TF-TFd -- EOTnL/P",NA,NA,NA,NA,NA,"EOTnL/P",0,NA,NA,NA,NA,0,NA,NA
"497","TF-TFd -- MXL/P","MXL/P - MXL/S",18776,"DEGRADACION","TF-TFd","MXL/P","MXL/P",501,0.47,0,18776,8824.72,0,0,0
"498","TF-TFd -- MXL/S",NA,NA,NA,NA,NA,"MXL/S",51,1,0,NA,NA,0,0,NA
"499","TF-TFd -- MXnL/P",NA,NA,NA,NA,NA,"MXnL/P",90,NA,NA,NA,NA,0,NA,NA
"500","TF-TFd -- MXnL/S",NA,NA,NA,NA,NA,"MXnL/S",6,NA,NA,NA,NA,0,NA,NA
"501","TF-TFd -- P",NA,NA,NA,NA,NA,"P",195,NA,NA,NA,NA,0,NA,NA
"502","TF-TFd -- SC/P","SC/P - SC/S",33329,"DEGRADACION","TF-TFd","SC/P","SC/P",239,2.21,0,33329,73657.09,0,0,0
"503","TF-TFd -- SC/S",NA,NA,NA,NA,NA,"SC/S",114,2.21,0,NA,NA,0,0,NA
"504","TF-TFd -- SP/P","SP/P - SP/S",94863,"DEGRADACION","TF-TFd","SP/P","SP/P",577,1.94,0,94863,184034.22,0,0,0
"505","TF-TFd -- SP/S",NA,NA,NA,NA,NA,"SP/S",98,1.4,0,NA,NA,0,0,NA
"506","TF-TFd -- SSC/P","SSC/P - SSC/S",57830,"DEGRADACION","TF-TFd","SSC/P","SSC/P",169,2.21,0,57830,127804.3,0,0,0
"507","TF-TFd -- SSC/S",NA,NA,NA,NA,NA,"SSC/S",55,2.21,0,NA,NA,0,0,NA
"508","TF-TFd -- VHL/P","VHL/P - VHL/S",1771,"DEGRADACION","TF-TFd","VHL/P","VHL/P",43,1.58,0,1771,2798.18,0,0,0
"509","TF-TFd -- VHL/S",NA,NA,NA,NA,NA,"VHL/S",0,NA,NA,NA,NA,0,NA,NA
"510","TF-TFd -- VHnL/P",NA,NA,NA,NA,NA,"VHnL/P",6,NA,NA,NA,NA,0,NA,NA
"511","TFd-TF -- BC ",NA,NA,NA,NA,NA,"BC ",3,NA,NA,NA,NA,0,NA,NA
"512","TFd-TF -- BCO/P",NA,NA,NA,NA,NA,"BCO/P",1715,-0.62,0,NA,NA,0,0,NA
"513","TFd-TF -- BCO/S","BCO/S - BCO/P",11209,"RECUPERACION","TFd-TF","BCO/S","BCO/S",384,-0.96,0,11209,-10760.64,0,0,0
"514","TFd-TF -- BE/P",NA,NA,NA,NA,NA,"BE/P",1225,-0.68,0,NA,NA,0,0,NA
"515","TFd-TF -- BE/S","BE/S - BE/P",8299,"RECUPERACION","TFd-TF","BE/S","BE/S",488,-0.73,0,8299,-6058.27,0,0,0
"516","TFd-TF -- BM/P",NA,NA,NA,NA,NA,"BM/P",108,-0.55,0,NA,NA,0,0,NA
"517","TFd-TF -- BM/S","BM/S - BM/P",5121,"RECUPERACION","TFd-TF","BM/S","BM/S",31,-0.85,0,5121,-4352.85,0,0,0
"518","TFd-TF -- EOTL/P",NA,NA,NA,NA,NA,"EOTL/P",3,-0.09,0,NA,NA,0,0,NA
"519","TFd-TF -- EOTL/S",NA,NA,NA,NA,NA,"EOTL/S",11,-0.09,0,NA,NA,0,0,NA
"520","TFd-TF -- EOTnL/P",NA,NA,NA,NA,NA,"EOTnL/P",0,NA,NA,NA,NA,0,NA,NA
"521","TFd-TF -- MXL/P",NA,NA,NA,NA,NA,"MXL/P",258,-0.15,0,NA,NA,0,0,NA
"522","TFd-TF -- MXL/S","MXL/S - MXL/P",246974,"RECUPERACION","TFd-TF","MXL/S","MXL/S",30,-0.32,0,246974,-79031.68,0,0,0
"523","TFd-TF -- MXnL/P",NA,NA,NA,NA,NA,"MXnL/P",41,-0.13,0,NA,NA,0,0,NA
"524","TFd-TF -- MXnL/S",NA,NA,NA,NA,NA,"MXnL/S",4,-0.13,0,NA,NA,0,0,NA
"525","TFd-TF -- P",NA,NA,NA,NA,NA,"P",113,-0.3511,0,NA,NA,0,0,NA
"526","TFd-TF -- SC/P",NA,NA,NA,NA,NA,"SC/P",326,-0.81,0,NA,NA,0,0,NA
"527","TFd-TF -- SC/S","SC/S - SC/P",76451,"RECUPERACION","TFd-TF","SC/S","SC/S",198,-0.68,0,76451,-51986.68,0,0,0
"528","TFd-TF -- SP/P",NA,NA,NA,NA,NA,"SP/P",605,-1.21,0,NA,NA,0,0,NA
"529","TFd-TF -- SP/S","SP/S - SP/P",329159,"RECUPERACION","TFd-TF","SP/S","SP/S",72,-1.64,0,329159,-539820.76,0,0,0
"530","TFd-TF -- SSC/P",NA,NA,NA,NA,NA,"SSC/P",365,-1.76,0,NA,NA,0,0,NA
"531","TFd-TF -- SSC/S","SSC/S - SSC/P",470194,"RECUPERACION","TFd-TF","SSC/S","SSC/S",78,-1.18,0,470194,-554828.92,0,0,0
"532","TFd-TF -- VHL/P",NA,NA,NA,NA,NA,"VHL/P",43,-0.12,0,NA,NA,0,0,NA
"533","TFd-TF -- VHL/S","VHL/S - VHL/P",163,"RECUPERACION","TFd-TF","VHL/S","VHL/S",5,-0.12,0,163,-19.56,0,0,0
"534","TFd-TF -- VHnL/P",NA,NA,NA,NA,NA,"VHnL/P",2,-0.17,0,NA,NA,0,0,NA
